"","Species","Region","Time","Value","Metric","fall_OI_SST_Anomaly_degreesC","winter_OI_SST_Anomaly_degreesC","fall_OI_SST_Anomaly_stock_degreesC","winter_OI_SST_Anomaly_stock_degreesC","northern_latitude","MONTHLY_CHLOR_A_MEDIAN_month_01_mg_m__3","MONTHLY_CHLOR_A_MEDIAN_month_11_mg_m__3","MONTHLY_CHLOR_A_RATIO_ANOMALY_month_01_","MONTHLY_CHLOR_A_RATIO_ANOMALY_month_11_","WEEKLY_CHLOR_A_MEDIAN_week_01_mg_m__3","WEEKLY_CHLOR_A_RATIO_ANOMALY_week_01_","WEEKLY_CHLOR_A_RATIO_ANOMALY_week_05_","WEEKLY_CHLOR_A_RATIO_ANOMALY_week_46_","MONTHLY_PPD_MEDIAN_month_02_gCarbon_m_2_Day","WEEKLY_PPD_MEDIAN_week_03_gCarbon_m_2_Day","WEEKLY_PPD_MEDIAN_week_05_gCarbon_m_2_Day"
"11","White hake","Gulf of Maine / Georges Bank",2008,12471,"Abundance",0.316268055702233,-0.317055403315589,0.295665135191875,-0.302858863313226,44.384095,0.5456948,0.9088706,0.8997827,0.9487962,0.5818278,0.8883105,0.9000603,1.39528,0.2107606,0.2079025,0.1733446
"12","White hake","Gulf of Maine / Georges Bank",2009,15998,"Abundance",0.462238371760948,-0.338634187998595,0.468090652132931,-0.327240039834458,44.387675,0.6036252,1.023227,0.9429844,1.038411,0.8161003,1.063981,0.9417088,1.38831,0.254681,0.1818399,0.2461272
"13","White hake","Gulf of Maine / Georges Bank",2010,19158,"Abundance",0.580941268197005,0.0848556167108043,0.560268416656156,0.0576425358101167,44.337065,0.6810869,0.9299635,1.055901,0.9708213,1.068138,1.22392,1.119807,0.9644939,0.2632331,0.2791764,0.2711113
"14","White hake","Gulf of Maine / Georges Bank",2011,19778,"Abundance",1.44441860188609,0.430470425751475,1.39190037133625,0.450440006588649,44.40563,1.072327,1.215585,1.521717,1.289314,1.070882,1.326295,1.281118,1.32822,0.3398799,0.2663455,0.2443919
"15","White hake","Gulf of Maine / Georges Bank",2012,20222,"Abundance",1.94633342795735,1.69441982644988,2.02179641370968,1.67894765490425,44.328467,0.7726013,1.840845,1.218526,1.863012,0.8662975,1.299907,1.109501,1.365227,0.3264368,0.3086071,0.3151363
"16","White hake","Gulf of Maine / Georges Bank",2013,19739,"Abundance",0.895867891674456,1.64766391716622,0.93379137808623,1.62827843573264,44.43004,0.7390476,1.411217,1.188932,1.404215,0.7901348,1.049841,1.122431,1.386477,0.30124,0.3539175,0.372097
"17","White hake","Gulf of Maine / Georges Bank",2014,18986,"Abundance",1.43767403692439,0.325953763204592,1.53289173350009,0.41717523323259,44.35496,0.7931128,1.108037,1.250663,1.101609,0.761124,1.14024,1.112321,1.419414,0.2664163,0.2024628,0.2600704
"18","White hake","Gulf of Maine / Georges Bank",2015,22494,"Abundance",1.42531715298908,0.422074128985405,1.47949364940362,0.52068271599387,44.365333,0.7339622,1.569058,1.171049,1.502957,1.045264,1.32534,1.236457,1.457205,0.3052545,0.3442473,0.3251825
"19","White hake","Gulf of Maine / Georges Bank",2016,24386,"Abundance",1.64823307135459,1.38969364360308,1.58055719322437,1.43641083610239,44.431068,0.8446563,1.48759,1.38341,1.471917,0.9925113,1.508646,1.299663,1.727655,0.3142653,0.3268174,0.3370912
"20","White hake","Gulf of Maine / Georges Bank",2017,15891,"Abundance",1.74268580411655,1.2585398535596,1.8872788688705,1.21254243433616,44.341148,0.6770647,1.384806,1.073208,1.282732,0.8756052,1.244945,1.070088,1.360796,0.2607995,0.2793013,0.3349097
