"","Species","Region","Time","Value","Metric","Abundance_Metric_Tons"
"30","Acadian redfish","Gulf of Maine / Georges Bank",1942,50805,"Recruitment",500130
"31","Acadian redfish","Gulf of Maine / Georges Bank",1943,49266,"Recruitment",452576
"32","Acadian redfish","Gulf of Maine / Georges Bank",1944,47474,"Recruitment",409354
"33","Acadian redfish","Gulf of Maine / Georges Bank",1945,45735,"Recruitment",371178
"34","Acadian redfish","Gulf of Maine / Georges Bank",1946,45215,"Recruitment",339032
"35","Acadian redfish","Gulf of Maine / Georges Bank",1947,42476,"Recruitment",306105
"36","Acadian redfish","Gulf of Maine / Georges Bank",1948,41307,"Recruitment",273647
"37","Acadian redfish","Gulf of Maine / Georges Bank",1949,40200,"Recruitment",245266
"38","Acadian redfish","Gulf of Maine / Georges Bank",1950,38682,"Recruitment",222965
"39","Acadian redfish","Gulf of Maine / Georges Bank",1951,35579,"Recruitment",200797
"40","Acadian redfish","Gulf of Maine / Georges Bank",1952,36743,"Recruitment",184790
"41","Acadian redfish","Gulf of Maine / Georges Bank",1953,43338,"Recruitment",175663
"42","Acadian redfish","Gulf of Maine / Georges Bank",1954,36306,"Recruitment",170804
"43","Acadian redfish","Gulf of Maine / Georges Bank",1955,36649,"Recruitment",167864
"44","Acadian redfish","Gulf of Maine / Georges Bank",1956,36726,"Recruitment",164281
"45","Acadian redfish","Gulf of Maine / Georges Bank",1957,39854,"Recruitment",158768
"46","Acadian redfish","Gulf of Maine / Georges Bank",1958,35212,"Recruitment",151872
"47","Acadian redfish","Gulf of Maine / Georges Bank",1959,39164,"Recruitment",146515
"48","Acadian redfish","Gulf of Maine / Georges Bank",1960,29141,"Recruitment",143119
"49","Acadian redfish","Gulf of Maine / Georges Bank",1961,42134,"Recruitment",141039
"50","Acadian redfish","Gulf of Maine / Georges Bank",1962,26198,"Recruitment",137442
"51","Acadian redfish","Gulf of Maine / Georges Bank",1963,47708,"Recruitment",135444
"52","Acadian redfish","Gulf of Maine / Georges Bank",1964,32315,"Recruitment",136451
"53","Acadian redfish","Gulf of Maine / Georges Bank",1965,18161,"Recruitment",138614
"54","Acadian redfish","Gulf of Maine / Georges Bank",1966,4779,"Recruitment",140801
"55","Acadian redfish","Gulf of Maine / Georges Bank",1967,3178,"Recruitment",141796
"56","Acadian redfish","Gulf of Maine / Georges Bank",1968,1602,"Recruitment",142875
"57","Acadian redfish","Gulf of Maine / Georges Bank",1969,1409,"Recruitment",143570
"58","Acadian redfish","Gulf of Maine / Georges Bank",1970,1827,"Recruitment",138398
"59","Acadian redfish","Gulf of Maine / Georges Bank",1971,111985,"Recruitment",127972
"60","Acadian redfish","Gulf of Maine / Georges Bank",1972,3650,"Recruitment",114363
"61","Acadian redfish","Gulf of Maine / Georges Bank",1973,2013,"Recruitment",100519
"62","Acadian redfish","Gulf of Maine / Georges Bank",1974,1138,"Recruitment",89774
"63","Acadian redfish","Gulf of Maine / Georges Bank",1975,861,"Recruitment",82855
"64","Acadian redfish","Gulf of Maine / Georges Bank",1976,845,"Recruitment",76448
"65","Acadian redfish","Gulf of Maine / Georges Bank",1977,1139,"Recruitment",69696
"66","Acadian redfish","Gulf of Maine / Georges Bank",1978,25528,"Recruitment",61381
"67","Acadian redfish","Gulf of Maine / Georges Bank",1979,1065,"Recruitment",51658
"68","Acadian redfish","Gulf of Maine / Georges Bank",1980,1596,"Recruitment",42676
"69","Acadian redfish","Gulf of Maine / Georges Bank",1981,9254,"Recruitment",36161
"70","Acadian redfish","Gulf of Maine / Georges Bank",1982,12056,"Recruitment",30563
"71","Acadian redfish","Gulf of Maine / Georges Bank",1983,3699,"Recruitment",25991
"72","Acadian redfish","Gulf of Maine / Georges Bank",1984,5437,"Recruitment",22553
"73","Acadian redfish","Gulf of Maine / Georges Bank",1985,17332,"Recruitment",19701
"74","Acadian redfish","Gulf of Maine / Georges Bank",1986,15407,"Recruitment",17701
"75","Acadian redfish","Gulf of Maine / Georges Bank",1987,10926,"Recruitment",16948
"76","Acadian redfish","Gulf of Maine / Georges Bank",1988,12073,"Recruitment",17299
"77","Acadian redfish","Gulf of Maine / Georges Bank",1989,12789,"Recruitment",18506
"78","Acadian redfish","Gulf of Maine / Georges Bank",1990,15716,"Recruitment",20337
"79","Acadian redfish","Gulf of Maine / Georges Bank",1991,64711,"Recruitment",18744
"80","Acadian redfish","Gulf of Maine / Georges Bank",1992,83197,"Recruitment",16322
"81","Acadian redfish","Gulf of Maine / Georges Bank",1993,38445,"Recruitment",18673
"82","Acadian redfish","Gulf of Maine / Georges Bank",1994,42597,"Recruitment",22086
"83","Acadian redfish","Gulf of Maine / Georges Bank",1995,31691,"Recruitment",27050
"84","Acadian redfish","Gulf of Maine / Georges Bank",1996,28035,"Recruitment",33820
"85","Acadian redfish","Gulf of Maine / Georges Bank",1997,34879,"Recruitment",42754
"86","Acadian redfish","Gulf of Maine / Georges Bank",1998,48525,"Recruitment",53847
"87","Acadian redfish","Gulf of Maine / Georges Bank",1999,92116,"Recruitment",66552
"88","Acadian redfish","Gulf of Maine / Georges Bank",2000,43536,"Recruitment",80354
"89","Acadian redfish","Gulf of Maine / Georges Bank",2001,79573,"Recruitment",94675
"90","Acadian redfish","Gulf of Maine / Georges Bank",2002,30841,"Recruitment",109475
"91","Acadian redfish","Gulf of Maine / Georges Bank",2003,44763,"Recruitment",125063
"92","Acadian redfish","Gulf of Maine / Georges Bank",2004,92857,"Recruitment",141485
"93","Acadian redfish","Gulf of Maine / Georges Bank",2005,73429,"Recruitment",158775
"94","Acadian redfish","Gulf of Maine / Georges Bank",2006,48705,"Recruitment",176793
